Name,expense,type,breakfast,Different,SitDown,Description,address
Slate Restaurant,affordable,American,0,1,1,"Hotel restaurant serving steaks, seafood & other traditional American meals in a contemporary space.","101 W 100 N, Provo, UT 84601, USA"
Four Seasons Hot Pot & Dumplings,affordable,Asian,0,1,1,Low-key restaurant offering Chinese hot pots & dumplings in a modestly appointed dining room.,"236 N University Ave, Provo, UT 84601, USA"
Panda Express,cheap,Asian,0,0,0,"Fast-food chain for Chinese standards, including some health-conscious options.","1240 N University Ave B, Provo, UT 84604, USA"
Costa Vida,affordable,Mexican,0,0,0,"Laid-back counter-serve Mexican chain with Baja-style tacos & burritos, plus gluten-free options.","1200 N University Ave, Provo, UT 84606, USA"
Denny's,cheap,American,1,0,1,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.","1680 Freedom Blvd 200 W, Provo, UT 84601, USA"
Great Harvest Bread Co.,affordable,American,0,1,1,Bakery chain specializing in whole-grain breads & muffins made with Montana wheat.,"1774 N University Pkwy #48, Provo, UT 84604, USA"
Brasas Mexican Grill,cheap,Mexican,0,1,1,Tacos & other Mexican bites round out the menu at this open-air counter serve with covered seating.,"238 W 100 S, Provo, UT 84601, USA"
The Great Steak Grill,cheap,American,0,1,1,"Fresh made steak sandwiches, shakes, chicken fried steak, ribs, etc","1650 W Center St, Provo, UT 84601, USA"
L&L Hawaiian Barbecue - Provo,cheap,American,0,1,1,Island-themed fast-food chain whose menu features traditional Hawaiian plate lunches.,"158 Cougar Blvd, Provo, UT 84604, USA"
Chick-fil-A,cheap,American,0,0,0,Fast-food chain for chicken sandwiches,484 Cougar Blvd
Sonic Drive-In,cheap,American,0,0,0,Fast-food burger chain with retro flair,1296 N State St
Burgers Supreme,cheap,American,0,1,0,Simple eatery with burgers & fried fare,1796 N University Pkwy
Wendy's,cheap,American,1,0,0,Fast-food burger chain,122 E 1230 N St
Raising Cane's Chicken Fingers,cheap,American,0,1,0,Fast-food chain for fried chicken combos,132 W 1230 N St
Carl's Jr.,cheap,American,1,0,0,Fast-food chain for jumbo burger meals,344 W 1230 N
Taco Bell,cheap,Mexican,0,0,0,Mexican-inspired fast-food chain,433 900 E
McDonald's,cheap,American,1,0,0,Iconic fast-food burger & fries chain,1225 S University Ave
Chick-fil-A,cheap,American,0,0,0,Fast-food chain for chicken sandwiches,"Brigham Young University, Ernest L. Wilkinson Student Center, Cougareat Food Court"
Arby's,cheap,American,0,0,0,Fast-food chain with deli sandwiches,1474 S 40 E
Burger King,cheap,American,1,0,0,American-based multinational chain of hamburger fast food restaurants.,1080 S University Ave
The Habit Burger Grill (Drive-Thru),cheap,American,0,1,0,"Charbroiled burgers star at this fast-food chain also offering deli-type sandwiches, salads & fries.",2245 N University Pkwy
A&W Restaurant,cheap,American,0,1,0,Fast-food chain for burgers & root beer,1034 S University Ave
Arby's,cheap,American,0,0,0,Fast-food chain with deli sandwiches,210 W 1230 N St
J.Dawgs,cheap,American,0,1,0,Serves a variety of Hot Dogs and an over-the-top experience from the moment you walk in.,858 700 E
